time,pino,tagid
2022-10-08 12:17:08,2.0,820198D4
2022-10-08 12:17:08,2.0,8201A30D
2022-10-08 12:17:08,5.0,82019F0C
2022-10-08 12:17:08,5.0,82019C9E
2022-10-08 12:17:08,1.0,82019A29
2022-10-08 12:17:08,5.0,82019A5C
2022-10-08 12:17:08,5.0,82019B41
2022-10-08 12:17:08,4.0,8201A1C7
2022-10-08 12:17:08,1.0,82019F4E
2022-10-08 12:17:08,3.0,82019E4E
2022-10-08 12:17:08,5.0,82019BEC
2022-10-08 12:17:08,3.0,82019B2F
2022-10-08 12:17:08,5.0,82019C19
2022-10-08 12:17:08,5.0,82019CFB
2022-10-08 12:17:08,4.0,82019572
2022-10-08 12:17:08,3.0,8201A32E
2022-10-08 12:17:08,2.0,82019BF6
2022-10-08 12:17:08,4.0,8201A1B6
2022-10-08 12:17:10,5.0,82019BEC
2022-10-08 12:17:10,4.0,82019572
2022-10-08 12:17:10,5.0,82019B41
2022-10-08 12:17:10,2.0,820198D4
2022-10-08 12:17:10,3.0,82019E4E
2022-10-08 12:17:10,5.0,82019CFB
2022-10-08 12:17:10,3.0,82019B2F
2022-10-08 12:17:10,1.0,82018F34
2022-10-08 12:17:10,3.0,8201A30D
2022-10-08 12:17:10,5.0,82019C9E
2022-10-08 12:17:10,3.0,8201A32E
2022-10-08 12:17:10,5.0,82019A5C
2022-10-08 12:17:10,5.0,82019C19
2022-10-08 12:17:10,1.0,82019F4E
2022-10-08 12:17:10,1.0,82019A29
2022-10-08 12:17:10,5.0,82019F0C
2022-10-08 12:17:10,4.0,8201A1B6
2022-10-08 12:17:10,4.0,8201A1C7
2022-10-08 12:17:10,2.0,82019BF6
2022-10-08 12:17:12,4.0,8201A1B6
2022-10-08 12:17:12,4.0,8201A1C7
2022-10-08 12:17:12,5.0,82019C19
2022-10-08 12:17:12,5.0,82019C9E
2022-10-08 12:17:12,1.0,82018F34
2022-10-08 12:17:12,1.0,82019A29
2022-10-08 12:17:12,3.0,82019B2F
2022-10-08 12:17:12,3.0,8201A32E
2022-10-08 12:17:12,4.0,82019572
2022-10-08 12:17:12,3.0,82019E4E
2022-10-08 12:17:12,5.0,82019CFB
2022-10-08 12:17:12,5.0,82019F4E
2022-10-08 12:17:12,2.0,820198D4
2022-10-08 12:17:12,5.0,82019B41
2022-10-08 12:17:12,2.0,82019BF6
2022-10-08 12:17:12,5.0,82019F0C
2022-10-08 12:17:12,5.0,82019BEC
2022-10-08 12:17:12,3.0,8201A30D
2022-10-08 12:17:12,5.0,82019A5C
2022-10-08 12:17:14,5.0,82019C19
2022-10-08 12:17:14,5.0,82019F0C
2022-10-08 12:17:14,4.0,8201A1C7
2022-10-08 12:17:14,2.0,82019BF6
2022-10-08 12:17:14,2.0,82019B2F
2022-10-08 12:17:14,1.0,82018F34
2022-10-08 12:17:14,3.0,8201A30D
2022-10-08 12:17:14,4.0,82019572
2022-10-08 12:17:14,3.0,82019B41
2022-10-08 12:17:14,5.0,82019C9E
2022-10-08 12:17:14,1.0,82019A29
2022-10-08 12:17:14,5.0,82019BEC
2022-10-08 12:17:14,3.0,8201A32E
2022-10-08 12:17:14,4.0,8201A1B6
2022-10-08 12:17:14,5.0,82019A5C
2022-10-08 12:17:14,2.0,820198D4
2022-10-08 12:17:14,5.0,82019F4E
2022-10-08 12:17:14,5.0,82019CFB
2022-10-08 12:17:14,3.0,82019E4E
2022-10-08 12:17:16,2.0,82019BF6
2022-10-08 12:17:16,4.0,8201A1C7
2022-10-08 12:17:16,2.0,820198D4
2022-10-08 12:17:16,3.0,82019B41
2022-10-08 12:17:16,3.0,8201A30D
2022-10-08 12:17:16,5.0,82019F4E
2022-10-08 12:17:16,1.0,82019A29
2022-10-08 12:17:16,4.0,82019572
2022-10-08 12:17:16,3.0,82019E4E
2022-10-08 12:17:16,1.0,82018F34
2022-10-08 12:17:16,5.0,82019CFB
2022-10-08 12:17:16,4.0,82019F0C
2022-10-08 12:17:16,5.0,82019C19
2022-10-08 12:17:16,5.0,82019C9E
2022-10-08 12:17:16,2.0,82019B2F
2022-10-08 12:17:16,5.0,82019A5C
2022-10-08 12:17:16,3.0,8201A32E
2022-10-08 12:17:16,4.0,8201A1B6
2022-10-08 12:17:16,5.0,82019BEC
2022-10-08 12:17:18,5.0,82019C9E
2022-10-08 12:17:18,3.0,8201A30D
2022-10-08 12:17:18,4.0,82019F0C
2022-10-08 12:17:18,5.0,82019A5C
2022-10-08 12:17:18,2.0,820198D4
2022-10-08 12:17:18,4.0,82019572
2022-10-08 12:17:18,2.0,82019BF6
2022-10-08 12:17:18,3.0,82019B41
2022-10-08 12:17:18,4.0,8201A1B6
2022-10-08 12:17:18,5.0,82019CFB
2022-10-08 12:17:18,4.0,8201A1C7
2022-10-08 12:17:18,1.0,82019A29
2022-10-08 12:17:18,3.0,82019E4E
2022-10-08 12:17:18,1.0,82018F34
2022-10-08 12:17:18,3.0,8201A32E
2022-10-08 12:17:18,5.0,82019F4E
2022-10-08 12:17:18,5.0,82019BEC
2022-10-08 12:17:18,5.0,82019C19
2022-10-08 12:17:18,2.0,82019B2F
2022-10-08 12:17:20,4.0,82019572
2022-10-08 12:17:20,5.0,82019C19
2022-10-08 12:17:20,5.0,82019BEC
2022-10-08 12:17:20,3.0,8201A30D
2022-10-08 12:17:20,3.0,8201A32E
2022-10-08 12:17:20,1.0,82019A29
2022-10-08 12:17:20,2.0,82019CFB
2022-10-08 12:17:20,4.0,82019F0C
2022-10-08 12:17:20,5.0,82019F4E
2022-10-08 12:17:20,1.0,82018F34
2022-10-08 12:17:20,4.0,8201A1C7
2022-10-08 12:17:20,5.0,82019C9E
2022-10-08 12:17:20,3.0,82019B41
