時間,論理ID,タグID,中継器ID,送信番号,電波強度,電源電圧,piNo
2022/10/08 10:53:56.176,1,820198E4,No Relay,70,99,3140,3
2022/10/08 10:53:56.186,1,820198E4,No Relay,70,141,3140,5
2022/10/08 10:53:58.201,1,82019EFE,No Relay,73,84,3150,2
2022/10/08 10:53:58.204,1,82019EFE,No Relay,73,75,3150,3
2022/10/08 10:53:58.215,1,82019EFE,No Relay,73,132,3150,5
2022/10/08 10:53:58.813,1,820198E4,No Relay,71,102,3140,3
2022/10/08 10:53:58.818,1,820198E4,No Relay,71,96,3140,2
2022/10/08 10:53:58.824,1,820198E4,No Relay,71,141,3140,5
2022/10/08 10:54:01.063,1,82019EFE,No Relay,74,72,3150,2
2022/10/08 10:54:01.066,1,82019EFE,No Relay,74,96,3150,3
2022/10/08 10:54:01.076,1,82019EFE,No Relay,74,132,3150,5
2022/10/08 10:54:03.652,1,82019EFE,No Relay,75,69,3150,2
2022/10/08 10:54:03.664,1,82019EFE,No Relay,75,129,3150,5
2022/10/08 10:54:03.710,1,820198E4,No Relay,73,84,3140,2
2022/10/08 10:54:03.717,1,820198E4,No Relay,73,102,3140,3
2022/10/08 10:54:03.728,1,820198E4,No Relay,73,141,3140,5
2022/10/08 10:54:06.293,1,82019EFE,No Relay,76,90,3150,3
2022/10/08 10:54:06.474,1,820198E4,No Relay,74,87,3140,2
2022/10/08 10:54:06.482,1,820198E4,No Relay,74,99,3140,3
2022/10/08 10:54:06.493,1,820198E4,No Relay,74,138,3140,5
2022/10/08 10:54:09.160,1,820198E4,No Relay,75,105,3140,2
2022/10/08 10:54:09.168,1,820198E4,No Relay,75,111,3140,3
2022/10/08 10:54:09.180,1,820198E4,No Relay,75,144,3140,5
2022/10/08 10:54:11.785,1,82019EFE,No Relay,78,141,3160,2
2022/10/08 10:54:11.791,1,82019EFE,No Relay,78,120,3160,3
2022/10/08 10:54:11.796,1,82019EFE,No Relay,78,147,3160,5
2022/10/08 10:54:12.009,1,820198E4,No Relay,76,147,3140,5
2022/10/08 10:54:14.616,1,820198E4,No Relay,77,84,3140,3
2022/10/08 10:54:14.628,1,820198E4,No Relay,77,141,3140,5
2022/10/08 10:54:17.138,1,82019EFE,No Relay,80,108,3160,2
2022/10/08 10:54:17.148,1,82019EFE,No Relay,80,102,3160,5
2022/10/08 10:54:17.221,1,820198E4,No Relay,78,105,3140,3
2022/10/08 10:54:19.649,1,82019EFE,No Relay,81,72,3150,2
2022/10/08 10:54:19.657,1,82019EFE,No Relay,81,84,3150,3
2022/10/08 10:54:19.671,1,82019EFE,No Relay,81,96,3150,5
2022/10/08 10:54:19.679,1,820198E4,No Relay,79,120,3140,5
2022/10/08 10:54:22.512,1,820198E4,No Relay,80,111,3140,3
2022/10/08 10:54:22.517,1,820198E4,No Relay,80,111,3140,2
2022/10/08 10:54:22.525,1,820198E4,No Relay,80,93,3140,5
2022/10/08 10:54:24.947,1,820198E4,No Relay,81,99,3140,2
2022/10/08 10:54:24.955,1,820198E4,No Relay,81,84,3140,5
2022/10/08 10:54:27.632,1,82019EFE,No Relay,84,108,3150,3
2022/10/08 10:54:27.643,1,82019EFE,No Relay,84,114,3150,5
2022/10/08 10:54:29.991,1,820198E4,No Relay,83,93,3140,3
2022/10/08 10:54:30.175,1,82019EFE,No Relay,85,114,3150,3
2022/10/08 10:54:30.178,1,82019EFE,No Relay,85,153,3150,2
